-14.72 13.82 0.94
-14.56 13.82 0.95
-14.45 13.82 0.96
-14.24 13.69 0.96
-13.8 13.4 0.97
-12.6 12.2 0.97
-10.99 10.6 0.96
-8.62 8.28 0.96
-7.86 7.6 0.97
-6.54 6.28 0.96
-5.1 4.9 0.96
-3.73 3.58 0.96
-2.43 2.33 0.96
-1.3 1.25 0.96
0.11 -0.104 0.95
0.15 -0.14 0.93
1.07 -1.03 0.96
2.57 -2.47 0.96
3.29 -3.16 0.96
4.42 -4.24 0.96
5.78 -5.55 0.96
6.79 -6.53 0.96
7.62 -7.31 0.96
8.12 -7.82 0.96
8.59 -8.25 0.96
9.21 -8.84 0.96
9.9 -9.51 0.96
10.91 -10.48 0.96
11.51 -11.06 0.96
12.29 -11.8 0.96
13.64 -13.1 0.96
14.2 -13.68 0.96
14.33 -13.76 0.96
14.5 -13.89 0.96
14.79 -13.91 0.94
14.97 -13.9 0.93
